,Player,College_Season,Offensive_Win_Shares,Defensive_Win_Shares,Win_Shares,Win_Shares_Per_40
50,Joseph Forte,Career,3.5,3.5,8.8,.150
51,Jeryl Sasser,Career,11.6,11.6,14.6,.144
52,Brandon Armstrong,Career,3.7,3.7,8.7,.177
53,Gerald Wallace,Career,3.0,3.0,3.5,.168
54,Samuel Dalembert,Career,4.3,4.3,6.0,.189
55,Jamaal Tinsley,Career,7.3,7.3,8.4,.152
56,Trenton Hassell,Career,2.6,2.6,10.8,.141
57,Gilbert Arenas,Career,4.3,4.3,9.8,.183
58,Omar Cook,Career,2.4,2.4,3.2,.115
59,Will Solomon,Career,2.8,2.8,7.3,.107
60,Terence Morris,Career,12.0,12.0,21.1,.234
61,Brian Scalabrine,Career,5.0,5.0,13.0,.171
62,Jeff Trepagnier,Career,5.6,5.6,9.6,.133
63,Damone Brown,Career,7.7,7.7,12.9,.177
64,Earl Watson,Career,6.2,6.2,12.0,.110
65,Jamison Brewer,Career,3.0,3.0,3.8,.113
66,Bobby Simmons,Career,5.2,5.2,11.1,.151
67,Sean Lampley,Career,7.5,7.5,14.8,.157
68,Loren Woods,,7.3,7.3,11.8,.278
69,Ruben Boumtje-Boumtje,Career,12.3,12.3,16.0,.260
70,Alton Ford,Career,0.7,0.7,1.2,.070
71,Jarron Collins,Career,7.8,7.8,13.4,.193
72,Kenny Satterfield,Career,5.5,5.5,8.0,.150
73,Alvin Jones,Career,10.4,10.4,14.5,.149
74,Jay Williams,Career,7.2,7.2,17.6,.197
75,Drew Gooden,Career,7.9,7.9,13.1,.204
76,Dajuan Wagner,Career,2.4,2.4,4.1,.143
77,Chris Wilcox,Career,3.6,3.6,5.5,.190
78,Caron Butler,Career,4.7,4.7,9.4,.172
79,Jared Jeffries,Career,6.0,6.0,8.9,.156
80,Melvin Ely,Career,9.8,9.8,21.1,.209
81,Marcus Haislip,Career,3.1,3.1,7.6,.198
82,Fred Jones,Career,5.7,5.7,15.4,.174
83,Juan Dixon,Career,8.4,8.4,20.6,.206
84,Curtis Borchardt,Career,6.6,6.6,10.4,.291
85,Ryan Humphrey,,7.1,7.1,9.8,.200
86,Kareem Rush,Career,4.3,4.3,12.2,.193
87,Casey Jacobsen,Career,3.8,3.8,15.1,.200
88,Tayshaun Prince,Career,9.8,9.8,18.2,.181
89,Frank Williams,Career,6.9,6.9,11.2,.140
90,John Salmons,Career,9.2,9.2,16.3,.171
91,Chris Jefferies,,3.2,3.2,6.6,.153
92,Dan Dickau,,2.5,2.5,11.2,.233
93,Roger Mason,Career,3.6,3.6,10.0,.152
94,Robert Archibald,Career,6.0,6.0,11.5,.218
95,Vincent Yarbrough,Career,8.7,8.7,15.2,.157
96,Dan Gadzuric,Career,7.9,7.9,12.5,.169
97,Carlos Boozer,Career,7.6,7.6,19.0,.290
98,Tito Maddox,Career,1.7,1.7,2.2,.110
99,Lonny Baxter,Career,10.9,10.9,19.9,.236
100,Matt Barnes,Career,4.6,4.6,7.9,.115
101,Jamal Sampson,Career,2.7,2.7,2.5,.127
102,Chris Owens,,8.3,8.3,10.8,.207
103,Darius Songaila,Career,8.0,8.0,19.3,.227
104,Rasual Butler,Career,6.1,6.1,13.3,.126
105,Tamar Slay,Career,3.9,3.9,12.2,.148
106,Randy Holcomb,,3.4,3.4,6.4,.133
107,Corsley Edwards,Career,11.5,11.5,19.3,.227
108,Carmelo Anthony,Career,3.1,3.1,5.8,.183
109,Chris Bosh,Career,2.9,2.9,6.4,.267
110,Dwyane Wade,Career,7.3,7.3,13.3,.268
111,Chris Kaman,Career,3.1,3.1,12.3,.226
112,Kirk Hinrich,Career,8.5,8.5,20.0,.191
113,Mike Sweetney,Career,10.6,10.6,21.0,.302
114,Jarvis Hayes,,2.6,2.6,7.2,.156
115,Nick Collison,Career,14.2,14.2,25.2,.259
116,Marcus Banks,Career,2.4,2.4,8.8,.164
117,Luke Ridnour,Career,3.4,3.4,11.2,.139
118,Reece Gaines,Career,6.1,6.1,16.7,.169
119,Troy Bell,Career,7.6,7.6,22.9,.210
120,David West,Career,18.0,18.0,31.7,.301
121,Dahntay Jones,,4.0,4.0,8.5,.168
122,Brian Cook,Career,9.9,9.9,20.5,.241
123,Josh Howard,Career,10.9,10.9,19.0,.215
124,Jason Kapono,Career,3.5,3.5,17.1,.159
125,Luke Walton,Career,7.7,7.7,10.4,.118
126,Travis Hansen,Career,3.7,3.7,8.6,.146
127,Steve Blake,Career,8.4,8.4,13.4,.124
128,Derrick Zimmerman,Career,8.5,8.5,12.0,.146
129,Willie Green,Career,6.0,6.0,13.8,.149
130,Keith Bogans,Career,6.8,6.8,14.9,.153
131,Matt Bonner,Career,7.2,7.2,16.9,.206
132,Mo Williams,Career,4.2,4.2,7.2,.133
133,James Jones,Career,9.1,9.1,14.3,.171
134,Kyle Korver,Career,7.1,7.1,22.7,.256
135,Brandon Hunter,Career,4.6,4.6,13.4,.138
136,Emeka Okafor,Career,14.1,14.1,22.3,.272
137,Ben Gordon,Career,6.1,6.1,15.7,.191
138,Devin Harris,Career,7.8,7.8,17.6,.210
139,Josh Childress,Career,7.2,7.2,11.2,.182
140,Luol Deng,Career,3.2,3.2,5.6,.195
141,Rafael Araújo,Career,4.6,4.6,10.6,.251
142,Andre Iguodala,Career,4.0,4.0,5.4,.137
143,Luke Jackson,Career,4.9,4.9,15.7,.172
144,Kris Humphries,Career,1.7,1.7,3.5,.140
145,Kirk Snyder,Career,6.0,6.0,9.9,.153
146,Jameer Nelson,Career,8.2,8.2,19.9,.184
147,Delonte West,Career,5.1,5.1,12.9,.216
148,Tony Allen,Career,6.3,6.3,10.8,.206
149,Kevin Martin,Career,2.6,2.6,13.7,.218
150,David Harrison,Career,6.7,6.7,14.4,.232
151,Jackson Vroman,Career,4.9,4.9,8.7,.180
152,Lionel Chalmers,Career,6.4,6.4,14.0,.144
153,Andre Emmett,Career,8.2,8.2,17.6,.170
154,Antonio Burks,Career,6.6,6.6,10.7,.154
155,Royal Ivey,Career,6.3,6.3,10.0,.121
156,Chris Duhon,Career,9.8,9.8,14.5,.120
157,Justin Reed,Career,7.8,7.8,14.4,.164
158,Trevor Ariza,Career,0.8,0.8,1.0,.052
159,Bernard Robinson,Career,4.8,4.8,9.6,.105
160,Pape Sow,Career,3.6,3.6,7.8,.133
161,Matt Freije,Career,4.5,4.5,13.7,.158
162,Luis Flores,,5.4,5.4,17.3,.207
