,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
269,Paul Millsap,Career,Louisiana Tech,92,91,7.2,12.4,.577,7.1,12.2,.580,0.1,0.2,.375,4.2,6.8,.620,5.5,7.3,12.7,0.9,1.3,2.0,2.4,3.1,18.6,2.11
270,Leon Powe,Career,California,54,53,5.9,12.0,.492,5.9,11.9,.495,0.1,0.2,.300,5.9,8.8,.672,3.4,6.4,9.8,1.1,0.8,0.6,2.2,2.4,17.8,7.74
271,Ryan Hollins,Career,UCLA,113,61,2.0,3.5,.575,2.0,3.5,.574,0.0,0.0,1.000,1.7,2.9,.591,1.6,2.5,4.0,0.4,0.2,0.9,1.4,2.4,5.7,7.98
272,Guillermo Díaz,Career,Miami (FL),93,81,5.5,12.4,.448,3.7,7.5,.493,1.9,4.9,.380,2.9,3.9,.740,0.9,2.5,3.4,2.6,1.3,0.3,2.1,1.8,15.9,6.01
273,Hassan Adams,Career,Arizona,130,100,5.8,11.6,.499,5.2,9.7,.535,0.6,1.9,.311,1.9,2.7,.704,2.5,3.0,5.4,2.0,1.8,0.7,2.0,2.0,14.0,8.42
274,Will Blalock,Career,Iowa State,93,92,4.2,10.0,.421,3.2,7.1,.445,1.1,2.9,.365,2.1,2.9,.719,0.6,2.5,3.1,5.0,1.9,0.1,2.5,1.6,11.6,7.92
275,Greg Oden,Career,Ohio State,32,31,5.9,9.6,.616,5.9,9.6,.616,0.0,0.0,,3.8,6.1,.628,3.5,6.0,9.6,0.7,0.6,3.3,2.0,2.7,15.7,9.03
276,Kevin Durant,Career,Texas,35,35,8.7,18.5,.473,6.4,12.7,.505,2.3,5.8,.404,6.0,7.3,.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,6.12
277,Al Horford,Career,Florida,109,98,3.9,6.6,.586,3.9,6.6,.589,0.0,0.0,.000,2.5,4.1,.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,6.65
278,Mike Conley,Career,Ohio State,39,39,4.1,7.9,.518,3.6,6.2,.579,0.5,1.8,.304,2.6,3.7,.694,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,9.03
279,Jeff Green,Career,Georgetown,102,102,4.8,9.7,.488,3.9,7.3,.531,0.9,2.4,.359,2.7,3.9,.700,2.1,4.4,6.5,3.1,0.9,1.2,2.5,2.5,13.1,7.65
280,Corey Brewer,Career,Florida,108,104,4.0,8.2,.480,3.0,5.7,.536,0.9,2.6,.356,2.5,3.6,.708,1.3,3.0,4.3,2.8,1.6,0.4,2.3,2.2,11.3,6.65
281,Brandan Wright,Career,UNC,37,37,6.2,9.5,.646,6.2,9.5,.646,0.0,0.0,,2.4,4.2,.567,2.1,4.1,6.2,1.0,1.0,1.8,1.6,1.5,14.7,9.30
282,Joakim Noah,Career,Florida,108,78,3.8,6.2,.616,3.8,6.2,.617,0.0,0.0,.500,2.9,4.2,.684,2.0,4.4,6.4,1.7,0.9,1.7,1.8,2.0,10.5,6.65
283,Spencer Hawes,Career,Washington,31,24,6.2,11.7,.532,6.2,11.6,.533,0.0,0.1,.333,2.4,3.2,.755,2.0,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,6.50
284,Acie Law,Career,Texas A&M,122,106,5.0,10.6,.466,4.0,8.0,.502,0.9,2.6,.357,2.8,3.7,.760,0.5,2.6,3.1,4.5,1.3,0.0,2.5,2.6,13.7,4.53
285,Thaddeus Young,Career,Georgia Tech,31,31,5.7,11.9,.478,4.5,8.9,.498,1.3,3.0,.419,1.7,2.3,.743,2.3,2.5,4.9,2.0,1.3,0.4,2.2,2.0,14.4,9.36
286,Julian Wright,Career,Kansas,71,52,4.4,8.0,.555,4.4,7.7,.565,0.0,0.2,.188,1.5,2.5,.591,2.1,4.2,6.3,2.0,1.2,1.3,2.2,2.1,10.4,7.23
287,Al Thornton,Career,Florida State,124,69,4.4,8.3,.528,3.9,7.2,.543,0.5,1.2,.438,3.0,4.2,.701,2.1,3.1,5.2,0.7,0.8,0.6,1.7,2.3,12.3,7.69
288,Rodney Stuckey,Career,Eastern Washington,59,59,8.1,17.1,.472,6.4,11.9,.540,1.7,5.2,.317,6.5,8.1,.806,1.1,3.6,4.7,4.8,2.3,0.3,3.5,2.4,24.4,-1.48
289,Nick Young,Career,USC,96,90,5.8,11.9,.484,4.8,9.2,.518,1.0,2.7,.368,3.0,3.9,.764,1.7,3.3,5.1,1.4,0.8,0.3,2.1,2.5,15.5,6.91
290,Sean Williams,Career,Boston College,69,15,2.0,3.5,.577,2.0,3.5,.577,0.0,0.0,,1.5,2.4,.605,1.6,2.6,4.2,0.6,0.6,2.8,1.2,2.7,5.5,7.24
291,Javaris Crittenton,Career,Georgia Tech,32,31,4.9,11.0,.450,3.8,7.8,.488,1.1,3.2,.356,3.4,4.3,.783,0.9,2.8,3.7,5.8,2.0,0.1,3.9,2.1,14.4,9.36
292,Jason Smith,Career,Colorado State,87,70,5.2,9.6,.548,5.1,9.3,.556,0.1,0.3,.308,4.1,5.5,.751,2.6,5.3,7.9,2.0,0.5,1.7,3.1,3.3,14.7,3.95
293,Daequan Cook,Career,Ohio State,39,1,3.6,8.1,.445,2.2,4.8,.465,1.4,3.3,.415,1.2,1.7,.697,0.7,3.6,4.3,1.0,0.7,0.3,1.4,1.7,9.8,9.03
294,Jared Dudley,Career,Boston College,130,130,5.3,10.5,.504,4.4,8.0,.548,0.9,2.5,.365,4.4,6.0,.731,2.9,4.3,7.2,3.0,1.4,0.3,2.1,1.9,15.9,7.22
295,Wilson Chandler,Career,DePaul,59,52,5.1,11.4,.445,4.3,8.8,.487,0.8,2.6,.303,2.0,3.0,.659,1.9,5.2,7.1,1.2,0.7,1.5,1.8,2.9,12.9,8.64
296,Morris Almond,Career,Rice,121,56,5.2,10.5,.492,3.9,7.6,.514,1.3,2.9,.435,3.5,4.2,.824,1.0,2.5,3.5,1.0,0.7,0.5,2.2,1.7,15.1,2.25
297,Aaron Brooks,Career,Oregon,115,110,4.3,10.1,.430,2.6,5.4,.479,1.8,4.8,.374,2.7,3.2,.834,0.7,2.7,3.5,4.1,1.1,0.1,2.6,2.3,13.1,6.68
298,Arron Afflalo,Career,UCLA,104,103,5.0,10.9,.457,3.0,5.5,.539,2.0,5.4,.373,2.8,3.6,.781,0.6,2.8,3.5,1.9,0.6,0.2,2.0,2.1,14.8,8.40
299,Alando Tucker,Career,Wisconsin,134,126,6.0,12.4,.480,5.2,10.0,.522,0.8,2.5,.307,3.9,6.1,.636,2.3,3.4,5.7,1.6,0.8,0.2,1.7,1.6,16.5,7.56
300,Carl Landry,Career,Purdue,64,63,6.3,10.5,.602,6.1,9.8,.628,0.2,0.7,.233,5.6,7.9,.714,3.0,4.0,7.1,1.2,1.0,0.8,2.9,3.0,18.4,8.86
301,Gabe Pruitt,Career,USC,80,70,4.5,10.2,.438,2.2,4.5,.496,2.2,5.7,.393,2.6,3.3,.778,0.6,2.5,3.1,3.5,2.0,0.2,2.4,2.3,13.8,6.91
302,Nick Fazekas,Career,Nevada,131,119,6.9,12.9,.532,6.0,10.3,.579,0.9,2.6,.341,4.2,5.1,.815,2.5,7.1,9.6,1.3,0.7,1.5,1.7,2.0,18.8,3.05
303,Glen Davis,Career,LSU,95,92,6.0,12.0,.496,5.7,11.1,.510,0.3,0.9,.310,4.5,6.5,.694,3.8,5.8,9.6,1.5,1.1,1.2,2.4,2.6,16.7,7.99
304,Jermareo Davidson,Career,Alabama,126,121,3.8,8.1,.467,3.7,7.9,.471,0.0,0.2,.211,2.5,3.5,.717,2.2,5.1,7.3,1.0,0.5,1.8,1.5,2.1,10.1,7.83
305,Josh McRoberts,Career,Duke,69,63,4.0,7.5,.540,3.9,7.0,.559,0.1,0.5,.278,2.5,3.8,.664,1.9,4.6,6.5,2.4,1.2,1.9,1.9,2.8,10.8,9.63
306,Derrick Byars,,Vanderbilt,64,64,5.3,11.3,.467,3.0,5.7,.531,2.2,5.5,.400,2.1,2.9,.713,1.2,3.0,4.3,3.3,1.2,0.2,2.4,2.4,14.8,
307,Adam Haluska,,Iowa,98,98,5.0,11.6,.430,2.8,5.7,.499,2.2,5.9,.364,3.9,4.6,.846,0.7,3.7,4.4,2.1,1.2,0.2,1.7,1.9,16.1,
308,Reyshawn Terry,Career,UNC,126,66,2.5,5.1,.485,1.7,3.2,.526,0.8,2.0,.419,1.5,2.1,.750,1.0,2.5,3.5,0.9,0.6,0.5,1.4,1.7,7.3,9.94
309,Jared Jordan,Career,Marist,117,108,4.7,10.5,.446,3.3,6.4,.521,1.3,4.0,.326,2.5,3.6,.702,1.2,3.6,4.8,6.9,1.4,0.1,2.8,1.8,13.1,-3.38
310,Stéphane Lasme,Career,UMass,118,90,3.2,5.4,.595,3.2,5.4,.595,0.0,0.0,,2.2,3.5,.622,2.8,3.6,6.4,0.9,0.7,3.4,1.8,3.1,8.6,1.93
311,Dominic McGuire,,Fresno State,32,32,4.8,10.2,.471,4.2,8.1,.516,0.6,2.1,.299,3.3,5.7,.586,2.2,7.6,9.8,3.3,0.9,3.6,3.7,2.8,13.5,
