,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
91,58,Bryan Bracey,Oregon,,2001.0,58,27.0,4.6,8.9,0.518,3.9,7.3,0.539,0.7,1.6,0.426,3.3,4.3,0.76,5.3,0.7,0.8,0.3,1.9,2.4,13.2,8.22
92,2,Jay Williams,Duke,0.02,2002.0,108,108.0,6.6,14.6,0.453,3.7,7.2,0.514,2.9,7.4,0.393,3.1,4.7,0.671,3.7,6.0,2.2,0.1,3.9,2.3,19.3,10.01
93,4,Drew Gooden,Kansas,0.105,2002.0,98,64.0,6.1,12.3,0.493,5.9,11.7,0.503,0.2,0.6,0.306,3.3,4.7,0.698,9.2,1.6,1.1,1.1,2.6,2.5,15.6,9.39
94,6,Dajuan Wagner,Memphis,0.0,2002.0,36,35.0,7.4,18.0,0.41,5.5,12.2,0.453,1.8,5.8,0.317,4.6,6.4,0.722,2.5,3.6,1.2,0.6,2.9,2.8,21.2,4.72
95,8,Chris Wilcox,Maryland,0.103,2002.0,70,27.0,3.2,6.2,0.52,3.2,6.1,0.522,0.0,0.0,0.0,1.5,2.6,0.589,4.7,1.0,0.5,1.0,1.0,2.0,7.9,10.17
96,10,Caron Butler,UConn,0.086,2002.0,63,62.0,6.4,13.8,0.465,5.7,11.9,0.482,0.7,1.9,0.364,4.5,5.9,0.768,7.6,3.0,2.1,0.3,2.7,2.4,18.0,6.51
97,11,Jared Jeffries,Indiana,0.046,2002.0,70,70.0,5.0,11.2,0.45,4.5,9.5,0.472,0.6,1.7,0.325,3.8,5.8,0.643,7.2,2.2,1.2,1.3,2.9,2.7,14.4,11.57
98,12,Melvin Ely,Fresno State,0.032,2002.0,124,92.0,6.4,11.0,0.577,6.4,11.0,0.578,0.0,0.0,0.333,3.0,4.6,0.648,7.5,1.1,0.8,2.9,2.4,2.3,15.7,4.36
99,13,Marcus Haislip,Tennessee,0.026,2002.0,89,25.0,3.1,5.9,0.53,2.7,4.7,0.568,0.4,1.1,0.373,1.7,2.5,0.705,3.4,0.5,0.3,1.3,1.1,2.4,8.4,9.79
100,14,Fred Jones,Oregon,0.077,2002.0,125,92.0,4.4,9.2,0.481,3.3,5.7,0.568,1.2,3.5,0.338,3.1,3.9,0.805,5.0,2.9,1.2,0.6,2.4,2.5,13.2,8.06
101,17,Juan Dixon,Maryland,0.034,2002.0,141,107.0,5.7,12.1,0.468,4.0,7.8,0.513,1.7,4.4,0.389,3.0,3.6,0.85,4.2,2.6,2.4,0.2,2.5,2.0,16.1,9.71
102,18,Curtis Borchardt,Stanford,0.041,2002.0,66,29.0,3.5,6.6,0.534,3.3,6.0,0.551,0.2,0.6,0.375,2.9,4.2,0.691,7.2,1.2,0.4,2.2,1.4,2.3,10.2,8.67
103,19,Ryan Humphrey,Notre Dame,-0.027,2002.0,60,60.0,6.6,13.4,0.496,6.5,13.0,0.499,0.1,0.4,0.381,3.3,5.7,0.567,10.0,2.0,0.9,2.8,2.6,2.6,16.6,
104,20,Kareem Rush,Missouri,0.013,2002.0,84,66.0,6.5,14.7,0.445,3.9,8.3,0.464,2.7,6.4,0.422,3.1,4.0,0.777,5.4,2.1,1.2,0.6,2.8,2.3,18.9,8.08
105,22,Casey Jacobsen,Stanford,0.056,2002.0,95,82.0,5.8,12.2,0.47,3.4,6.8,0.505,2.3,5.5,0.427,4.3,5.6,0.771,3.8,2.7,0.5,0.1,2.0,1.4,18.1,8.67
106,23,Tayshaun Prince,Kentucky,0.096,2002.0,135,109.0,4.8,10.5,0.457,3.3,5.9,0.556,1.5,4.6,0.329,2.0,2.7,0.743,5.6,1.9,0.8,1.1,1.7,1.4,13.1,11.46
