,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
61,23,Brandon Armstrong,Pepperdine,-0.039,2001.0,65,64.0,6.6,15.1,0.439,4.4,9.5,0.467,2.2,5.6,0.391,2.7,3.2,0.824,3.2,1.5,1.7,0.2,1.9,2.6,18.1,2.56
62,25,Gerald Wallace,Alabama,0.116,2001.0,36,2.0,3.5,8.0,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,6.0,1.5,1.2,1.0,2.4,2.4,9.8,6.29
63,26,Samuel Dalembert,Seton Hall,0.114,2001.0,59,48.0,3.0,5.5,0.537,3.0,5.5,0.537,0.0,0.0,,1.2,2.2,0.539,5.8,0.3,0.4,2.8,2.0,3.2,7.1,5.57
64,27,Jamaal Tinsley,Iowa State,0.057,2001.0,68,68.0,4.2,10.8,0.388,3.4,8.4,0.405,0.8,2.3,0.327,3.4,4.9,0.685,4.5,6.3,2.6,0.8,4.0,2.9,12.5,6.01
66,30,Trenton Hassell,Austin Peay State University,0.041,2001.0,84,57.0,6.9,14.6,0.471,5.4,10.4,0.523,1.5,4.2,0.345,4.1,5.3,0.779,8.2,4.5,1.1,0.7,3.4,1.5,19.4,-3.83
67,31,Gilbert Arenas,Arizona,0.127,2001.0,70,64.0,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3.0,4.0,0.738,3.8,2.2,1.9,0.2,2.7,2.4,15.8,11.13
68,32,Omar Cook,St. John's,-0.021,2001.0,29,29.0,4.9,13.5,0.36,2.5,5.9,0.424,2.3,7.6,0.309,3.3,4.4,0.742,3.0,8.7,2.3,0.2,5.1,2.8,15.3,8.27
69,33,Will Solomon,Clemson,0.0,2001.0,94,64.0,5.0,12.7,0.392,2.7,6.5,0.418,2.3,6.2,0.366,3.0,4.1,0.717,2.8,2.6,1.2,0.4,3.4,2.5,15.2,7.42
70,34,Terence Morris,Maryland,0.025,2001.0,136,104.0,4.7,9.6,0.495,4.0,7.4,0.542,0.7,2.2,0.338,2.5,3.2,0.78,6.8,1.7,1.2,1.9,2.0,2.3,12.7,10.39
71,35,Brian Scalabrine,USC,0.054,2001.0,92,91.0,5.7,11.2,0.513,5.2,9.7,0.538,0.5,1.5,0.343,3.7,4.8,0.77,6.1,2.7,1.0,0.9,3.4,2.7,15.7,9.08
72,36,Jeff Trepagnier,USC,-0.038,2001.0,106,75.0,4.1,8.6,0.471,3.5,6.7,0.521,0.6,1.9,0.298,1.9,2.9,0.659,5.2,1.4,1.9,1.0,1.8,2.6,10.6,8.68
73,37,Damone Brown,Syracuse,-0.1,2001.0,113,91.0,4.3,8.7,0.497,4.2,7.9,0.525,0.2,0.8,0.225,2.0,2.7,0.742,6.0,1.1,1.0,0.8,1.4,2.5,10.9,6.91
74,39,Michael Wright,Arizona,,2001.0,99,95.0,5.3,9.3,0.575,5.3,9.2,0.577,0.0,0.1,0.167,4.4,5.9,0.749,8.4,0.4,0.5,0.3,1.8,2.2,15.1,10.2
75,40,Earl Watson,UCLA,0.047,2001.0,129,129.0,4.0,8.9,0.45,3.0,5.9,0.507,1.0,3.0,0.341,2.2,3.3,0.654,3.8,4.7,1.8,0.4,3.3,2.9,11.2,10.51
76,41,Jamison Brewer,Auburn,-0.001,2001.0,58,33.0,2.1,4.5,0.456,1.8,3.5,0.525,0.2,1.0,0.22,1.3,2.5,0.527,4.7,4.1,1.1,0.1,2.2,1.3,5.7,7.68
77,42,Bobby Simmons,DePaul,0.084,2001.0,93,92.0,4.3,10.1,0.428,3.0,6.2,0.49,1.3,3.9,0.331,3.6,4.6,0.783,7.5,2.2,1.3,0.2,2.5,2.9,13.6,7.95
78,43,Eric Chenowith,Kansas,,2001.0,139,89.0,3.4,7.6,0.454,3.4,7.5,0.457,0.0,0.1,0.1,2.3,3.2,0.723,6.7,0.9,0.5,1.7,2.0,2.8,9.2,8.63
79,44,Kyle Hill,Eastern Illinois University,,2001.0,98,82.0,6.7,14.4,0.463,4.5,8.9,0.507,2.2,5.5,0.391,3.1,4.1,0.762,4.3,3.2,1.7,0.5,2.8,1.4,18.6,-3.54
80,45,Sean Lampley,California,0.096,2001.0,123,99.0,5.4,10.9,0.494,5.2,10.2,0.512,0.1,0.7,0.21,3.6,5.3,0.671,7.2,2.4,0.7,0.6,2.7,2.5,14.4,8.37
81,46,Loren Woods,Arizona,0.062,2001.0,55,53.0,5.2,10.0,0.522,5.2,9.9,0.525,0.0,0.1,0.2,3.9,4.9,0.796,7.0,1.8,0.7,3.4,2.1,2.1,14.3,
83,50,Ruben Boumtje-Boumtje,Georgetown,0.027,2001.0,101,86.0,3.4,7.0,0.485,3.4,7.0,0.487,0.0,0.0,0.0,2.8,4.2,0.664,7.0,0.9,0.8,2.5,2.7,2.8,9.6,4.92
84,51,Alton Ford,Houston,0.074,2001.0,26,18.0,3.7,8.5,0.432,3.3,7.2,0.462,0.3,1.3,0.265,3.1,5.1,0.609,5.9,0.7,0.2,0.7,2.5,3.7,10.8,4.91
85,52,Andre Hutson,Michigan State,,2001.0,138,129.0,3.8,6.2,0.609,3.8,6.2,0.609,0.0,0.0,0.0,2.6,3.6,0.727,6.1,1.2,0.8,0.5,1.7,2.5,10.1,9.9
86,53,Jarron Collins,Stanford,0.088,2001.0,129,65.0,2.9,5.5,0.52,2.8,5.4,0.527,0.0,0.1,0.25,2.6,3.9,0.669,5.5,1.1,0.6,0.5,1.2,2.3,8.4,8.87
87,54,Kenny Satterfield,Cincinnati,-0.051,2001.0,68,48.0,3.9,9.8,0.403,3.0,6.8,0.437,1.0,3.0,0.323,3.1,3.9,0.78,4.1,5.2,1.4,0.1,3.3,2.4,11.9,8.17
88,55,Maurice Jeffers,Saint Louis,,2001.0,64,64.0,3.8,8.5,0.439,3.3,7.3,0.453,0.5,1.3,0.361,3.2,4.4,0.73,5.2,2.0,0.9,0.4,2.3,2.4,11.2,7.15
90,57,Alvin Jones,Georgia Tech,0.034,2001.0,124,118.0,3.6,7.4,0.489,3.6,7.4,0.491,0.0,0.0,0.0,3.3,5.8,0.574,8.7,1.4,0.7,3.4,2.6,2.8,10.6,9.21
