,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
1372,33,ORL,Jason Preston,Ohio University,1.0,14.0,124.0,41.0,22.0,27.0,0.439,0.278,0.0,8.9,2.9,1.6,1.9,0.1,0.021,-2.6,0.0,Jason-Preston
1374,35,NOP,Herbert Jones,Alabama,2.0,144.0,4286.0,1391.0,565.0,329.0,0.473,0.336,0.802,29.8,9.7,3.9,2.3,8.9,0.099,-0.4,1.7,Herbert-Jones
1375,36,OKC,Miles McBride,West Virginia,2.0,104.0,1132.0,311.0,92.0,113.0,0.337,0.282,0.667,10.9,3.0,0.9,1.1,1.0,0.042,-3.0,-0.3,Miles-McBride
1376,37,DET,JT Thor,Auburn,2.0,102.0,1231.0,329.0,195.0,55.0,0.406,0.307,0.672,12.1,3.2,1.9,0.5,0.5,0.019,-4.4,-0.7,JT-Thor
1377,38,CHI,Ayo Dosunmu,Illinois,2.0,157.0,4208.0,1366.0,434.0,462.0,0.506,0.344,0.744,26.8,8.7,2.8,2.9,6.0,0.068,-2.2,-0.3,Ayo-Dosunmu
1378,39,SAC,Neemias Queta,Utah State University,2.0,20.0,149.0,57.0,42.0,7.0,0.489,,0.579,7.5,2.9,2.1,0.4,0.2,0.07,-4.8,-0.1,Neemias-Queta
1379,40,NOP,Jared Butler,Baylor,2.0,48.0,437.0,198.0,49.0,71.0,0.415,0.343,0.688,9.1,4.1,1.0,1.5,0.5,0.058,-1.8,0.0,Jared-Butler
1380,41,SAS,Joe Wieskamp,Iowa,2.0,38.0,255.0,70.0,18.0,12.0,0.329,0.309,0.538,6.7,1.8,0.5,0.3,0.1,0.013,-5.3,-0.2,Joe-Wieskamp
1381,42,DET,Isaiah Livers,Michigan,2.0,71.0,1582.0,467.0,200.0,62.0,0.426,0.378,0.83,22.3,6.6,2.8,0.9,1.7,0.052,-2.2,-0.1,Isaiah-Livers
1382,43,NOP,Greg Brown III,Texas,2.0,64.0,733.0,253.0,154.0,38.0,0.422,0.294,0.636,11.5,4.0,2.4,0.6,0.2,0.016,-5.2,-0.6,Greg-Brown III
1383,44,BRK,Kessler Edwards,Pepperdine,2.0,84.0,1372.0,384.0,233.0,54.0,0.406,0.34,0.794,16.3,4.6,2.8,0.6,1.0,0.036,-3.9,-0.7,Kessler-Edwards
1385,46,TOR,Dalano Banton,Nebraska,2.0,95.0,975.0,347.0,169.0,135.0,0.416,0.275,0.632,10.3,3.7,1.8,1.4,0.8,0.04,-2.4,-0.1,Dalano-Banton
1386,47,TOR,David Johnson,Louisville,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,-0.495,-27.7,0.0,David-Johnson
1387,48,ATL,Sharife Cooper,Auburn,1.0,13.0,39.0,7.0,5.0,5.0,0.214,0.167,,3.0,0.5,0.4,0.4,-0.2,-0.297,-16.3,-0.1,Sharife-Cooper
1388,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,,Marcus-Zegarowski
1389,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,,Filip-Petrušev
1390,51,MEM,Brandon Boston Jr.,Kentucky,2.0,73.0,1008.0,486.0,141.0,71.0,0.394,0.329,0.8,13.8,6.7,1.9,1.0,0.6,0.03,-3.0,-0.3,Brandon-Boston Jr.
1391,52,DET,Luka Garza,Iowa,2.0,60.0,632.0,367.0,163.0,38.0,0.49,0.341,0.699,10.5,6.1,2.7,0.6,1.8,0.138,-1.7,0.0,Luka-Garza
1392,53,PHI,Charles Bassey,Western Kentucky,2.0,58.0,676.0,268.0,255.0,54.0,0.643,0.25,0.633,11.7,4.6,4.4,0.9,2.1,0.147,0.8,0.5,Charles-Bassey
1393,54,IND,Sandro Mamukelashvili,Seton Hall,2.0,84.0,1067.0,417.0,267.0,84.0,0.446,0.344,0.722,12.7,5.0,3.2,1.0,2.0,0.091,-1.6,0.1,Sandro-Mamukelashvili
1394,55,OKC,Aaron Wiggins,Maryland,2.0,120.0,2506.0,895.0,388.0,148.0,0.489,0.346,0.776,20.9,7.5,3.2,1.2,3.8,0.074,-3.1,-0.7,Aaron-Wiggins
1395,56,CHO,Scottie Lewis,Florida,1.0,2.0,7.0,1.0,0.0,1.0,,,0.5,3.5,0.5,0.0,0.5,0.0,0.164,6.0,0.0,Scottie-Lewis
1396,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,,Balša-Koprivica
1397,58,NYK,Jericho Sims,Texas,2.0,93.0,1367.0,268.0,411.0,46.0,0.758,0.0,0.533,14.7,2.9,4.4,0.5,4.1,0.143,-1.0,0.3,Jericho-Sims
1398,59,BRK,RaiQuan Gray,Florida State,1.0,1.0,35.0,16.0,9.0,7.0,0.5,0.4,1.0,35.0,16.0,9.0,7.0,0.1,0.106,-2.0,0.0,RaiQuan-Gray
