,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
160,Chris Duarte,Career,Oregon,54,54,5.3,11.2,.473,3.3,5.9,.555,2.0,5.3,.380,2.3,2.9,.803,1.1,4.0,5.1,2.1,1.8,0.7,1.9,1.5,14.9,9.37
161,Moses Moody,Career,Arkansas,32,32,5.2,12.1,.427,3.3,7.0,.478,1.8,5.1,.358,4.7,5.8,.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,7.18
162,Corey Kispert,Career,Gonzaga,137,108,4.1,8.4,.483,2.1,3.6,.585,2.0,4.8,.408,1.5,1.8,.824,1.0,3.1,4.0,1.4,0.7,0.4,1.0,1.6,11.6,4.16
163,Trey Murphy III,,Virginia,25,20,3.8,7.6,.503,1.8,2.8,.620,2.1,4.8,.433,1.5,1.6,.927,0.6,2.8,3.4,1.2,0.8,0.4,0.8,2.0,11.3,
164,Tre Mann,Career,Florida,53,28,3.6,8.5,.422,2.3,4.9,.477,1.3,3.6,.349,1.8,2.2,.788,0.5,3.1,3.6,1.9,0.9,0.1,1.9,2.1,10.2,9.46
165,Kai Jones,Career,Texas,53,14,2.3,4.1,.553,1.9,3.0,.627,0.4,1.1,.345,1.2,1.8,.677,1.5,2.5,4.0,0.5,0.7,1.0,1.1,2.3,6.2,9.48
166,Jalen Johnson,,Mercer,32,30,4.4,10.3,.427,2.0,4.2,.481,2.4,6.1,.390,2.1,2.4,.895,1.3,3.3,4.7,1.3,0.8,1.1,1.4,2.2,13.3,
167,Keon Johnson,Career,Winthrop,128,115,4.9,11.5,.429,2.6,5.7,.459,2.3,5.8,.399,4.0,4.8,.848,0.4,2.7,3.1,2.1,0.7,0.0,1.7,1.9,16.2,-6.44
168,Isaiah Jackson,Career,Texas A&M-Corpus Christi,23,9,1.0,2.7,.355,0.8,2.1,.388,0.1,0.6,.231,1.0,1.4,.750,0.5,1.2,1.7,0.3,0.4,0.3,1.3,1.7,3.1,-2.82
169,Josh Christopher,Career,Arizona State,15,15,5.1,11.7,.432,3.9,7.8,.496,1.2,3.9,.305,2.9,3.7,.800,0.7,4.1,4.7,1.4,1.5,0.5,1.7,3.2,14.3,10.24
170,Quentin Grimes,,Houston,60,51,5.0,11.9,.421,2.6,5.6,.470,2.4,6.3,.377,2.6,3.6,.727,1.1,3.6,4.7,2.3,1.1,0.3,2.1,2.2,15.0,
171,Jaden Springer,Career,Tennessee,25,15,4.2,9.1,.467,3.4,7.2,.475,0.8,1.8,.435,3.2,4.0,.810,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,8.46
172,Santi Aldama,Career,Loyola (MD),27,26,7.3,14.7,.495,5.6,9.2,.606,1.7,5.4,.306,2.8,4.4,.639,1.7,7.5,9.2,2.2,1.0,1.7,2.9,2.0,19.0,-5.35
173,Jeremiah Robinson-Earl,Career,Villanova,56,56,4.8,10.0,.478,4.0,7.4,.540,0.8,2.6,.301,2.5,3.2,.768,2.5,6.4,9.0,2.1,1.1,0.6,1.9,2.3,12.8,9.61
174,Jason Preston,Career,Ohio,82,73,4.9,9.8,.498,3.9,7.1,.551,1.0,2.7,.357,1.8,2.6,.703,0.8,4.8,5.6,5.9,1.2,0.1,2.6,1.2,12.6,0.92
175,Herbert Jones,Career,Appalachian State,60,13,2.0,4.0,.511,1.8,3.3,.553,0.2,0.7,.300,0.8,1.7,.500,0.8,1.9,2.7,0.7,0.5,1.2,1.2,1.9,5.1,-2.61
176,Miles McBride,Career,West Virginia,60,30,4.3,10.3,.419,3.2,7.1,.442,1.2,3.2,.368,2.8,3.6,.785,0.8,2.3,3.1,3.3,1.5,0.4,1.6,1.7,12.6,10.34
177,JT Thor,Career,Auburn,27,27,3.1,7.1,.440,2.3,4.3,.530,0.8,2.7,.297,2.3,3.1,.741,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,9.28
178,Ayo Dosunmu,Career,Illinois,90,90,6.3,13.4,.470,5.1,9.9,.516,1.2,3.6,.345,2.8,3.8,.750,0.8,4.0,4.8,3.9,1.1,0.2,2.7,1.9,16.7,10.90
179,Neemias Queta,Career,Utah State,86,84,5.1,8.7,.594,5.1,8.6,.596,0.0,0.1,.375,2.9,4.4,.646,2.5,6.5,9.0,2.0,0.7,2.5,2.5,2.7,13.2,2.08
180,Jared Butler,Career,Baylor,94,81,4.9,11.4,.431,2.6,5.4,.483,2.3,5.9,.384,2.1,2.6,.782,0.5,2.7,3.2,3.5,1.5,0.2,2.4,2.4,14.1,8.60
181,Joe Wieskamp,Career,Iowa,97,97,4.4,9.5,.467,2.5,4.9,.519,1.9,4.6,.412,2.5,3.2,.771,1.3,4.5,5.8,1.5,0.9,0.4,1.4,1.6,13.2,10.30
182,Isaiah Livers,Career,Michigan,119,69,2.9,6.3,.465,1.5,2.9,.526,1.4,3.3,.412,1.1,1.3,.856,0.9,2.9,3.8,0.9,0.5,0.5,0.8,1.6,8.3,10.59
183,Kessler Edwards,Career,Pepperdine,92,84,4.6,9.8,.469,3.0,5.7,.522,1.6,4.1,.395,2.4,3.0,.789,1.7,4.8,6.5,1.2,1.0,1.3,1.5,2.4,13.3,3.08
184,Dalano Banton,,Nebraska,27,22,3.3,8.1,.411,2.6,5.1,.507,0.7,3.0,.247,2.1,3.3,.659,1.0,4.9,5.9,3.9,1.0,0.9,2.5,2.1,9.6,
185,David Johnson,Career,Hampton,112,80,2.3,3.8,.625,2.3,3.7,.631,0.0,0.1,.167,1.2,2.3,.521,,,3.7,0.6,0.4,0.7,,,5.9,-9.69
186,Sharife Cooper,Career,Auburn,12,12,6.0,15.3,.391,4.9,10.6,.465,1.1,4.8,.228,7.1,8.6,.825,0.7,3.6,4.3,8.1,1.0,0.3,4.2,2.7,20.2,9.28
187,Marcus Zegarowski,Career,Creighton,92,75,5.0,10.5,.471,2.6,5.0,.523,2.3,5.5,.423,1.8,2.3,.772,0.3,3.2,3.5,4.2,1.1,0.1,2.2,1.9,14.1,8.91
188,Filip Petrušev,Career,Gonzaga,65,33,4.2,7.6,.560,4.1,7.0,.586,0.2,0.6,.268,3.4,4.8,.703,1.5,3.8,5.4,0.9,0.4,0.6,1.4,1.6,12.0,4.07
189,Luka Garza,Career,Iowa,127,118,6.9,12.6,.546,5.9,10.0,.592,0.9,2.6,.367,3.5,5.0,.701,2.7,4.6,7.3,1.2,0.5,1.2,1.4,2.4,18.2,9.50
190,Charles Bassey,Career,Western Kentucky,72,72,6.1,10.2,.596,5.7,9.0,.636,0.4,1.3,.319,3.3,4.3,.768,3.0,7.5,10.5,0.8,0.6,2.6,2.5,2.5,15.9,0.81
191,Sandro Mamukelashvili,Career,Seton Hall,115,79,3.5,7.6,.459,2.6,5.0,.521,0.9,2.6,.339,1.7,2.6,.663,1.7,4.0,5.7,1.6,0.6,0.7,1.6,2.0,9.6,9.48
192,Aaron Wiggins,Career,Maryland,96,50,3.9,9.6,.407,2.1,4.6,.456,1.8,5.0,.361,1.4,1.8,.769,1.1,3.6,4.6,1.6,0.9,0.4,1.4,1.8,11.0,10.86
193,Scottie Lewis,Career,Florida,51,31,2.7,6.2,.443,2.0,4.1,.493,0.7,2.1,.343,2.0,2.7,.759,0.9,2.5,3.4,1.1,1.4,1.1,1.4,2.3,8.2,9.46
194,Balša Koprivica,Career,Florida State,51,20,2.7,4.3,.632,2.7,4.3,.630,0.0,0.0,1.000,1.3,1.9,.677,1.6,2.3,3.9,0.5,0.3,0.8,1.0,2.0,6.8,8.40
195,Jericho Sims,Career,Texas,119,77,2.7,4.3,.639,2.7,4.3,.640,0.0,0.0,.000,1.2,2.2,.524,1.8,3.6,5.4,0.4,0.4,0.8,1.2,2.2,6.6,10.27
196,RaiQuan Gray,Career,Florida State,90,52,2.4,5.3,.458,2.1,4.1,.512,0.3,1.1,.262,1.7,2.3,.732,1.0,2.9,3.9,1.4,1.0,0.5,1.5,2.2,6.8,9.02
