,Player,FNAME
419,Kelly Olynyk,Kelly-Olynyk
420,Shabazz Muhammad,Shabazz-Muhammad
421,Shane Larkin,Shane-Larkin
422,Tony Snell,Tony-Snell
423,Gorgui Dieng,Gorgui-Dieng
424,Mason Plumlee,Mason-Plumlee
425,Solomon Hill,Solomon-Hill
426,Andre Roberson,Andre-Roberson
427,Archie Goodwin,Archie-Goodwin
428,Allen Crabbe,Allen-Crabbe
429,Carrick Felix,Carrick-Felix
430,Isaiah Canaan,Isaiah-Canaan
431,Nate Wolters,Nate-Wolters
432,Jeff Withey,Jeff-Withey
433,Grant Jerrett,Grant-Jerrett
434,Jamaal Franklin,Jamaal-Franklin
435,Mike Muscala,Mike-Muscala
436,Erick Green,Erick-Green
437,Ryan Kelly,Ryan-Kelly
438,Erik Murphy,Erik-Murphy
439,Lorenzo Brown,Lorenzo-Brown
440,Peyton Siva,Peyton-Siva
441,Andrew Wiggins,Andrew-Wiggins
442,Jabari Parker,Jabari-Parker
443,Joel Embiid,Joel-Embiid
444,Aaron Gordon,Aaron-Gordon
445,Marcus Smart,Marcus-Smart
446,Julius Randle,Julius-Randle
447,Nik Stauskas,Nik-Stauskas
448,Noah Vonleh,Noah-Vonleh
449,Elfrid Payton,Elfrid-Payton
450,Doug McDermott,Doug-McDermott
451,Zach LaVine,Zach-LaVine
452,Adreian Payne,Adreian-Payne
453,James Young,James-Young
454,Tyler Ennis,Tyler-Ennis
455,Gary Harris,Gary-Harris
456,Mitch McGary,Mitch-McGary
457,Jordan Adams,Jordan-Adams
458,Shabazz Napier,Shabazz-Napier
459,Josh Huestis,Josh-Huestis
460,Joe Harris,Joe-Harris
461,Cleanthony Early,Cleanthony-Early
462,Jarnell Stokes,Jarnell-Stokes
463,Spencer Dinwiddie,Spencer-Dinwiddie
464,Jerami Grant,Jerami-Grant
465,Nick Johnson,Nick-Johnson
466,Markel Brown,Markel-Brown
467,Dwight Powell,Dwight-Powell
468,Russ Smith,Russ-Smith
469,Lamar Patterson,Lamar-Patterson
470,Cameron Bairstow,Cameron-Bairstow
471,Semaj Christon,Semaj-Christon
472,Jordan McRae,Jordan-McRae
473,Cory Jefferson,Cory-Jefferson
474,Karl-Anthony Towns,Karl-Anthony-Towns
475,Stanley Johnson,Stanley-Johnson
476,Frank Kaminsky,Frank-Kaminsky
477,Justise Winslow,Justise-Winslow
478,Myles Turner,Myles-Turner
479,Trey Lyles,Trey-Lyles
480,Devin Booker,Devin-Booker
481,Cameron Payne,Cameron-Payne
482,Terry Rozier,Terry-Rozier
483,Rashad Vaughn,Rashad-Vaughn
484,Sam Dekker,Sam-Dekker
485,Jerian Grant,Jerian-Grant
486,Delon Wright,Delon-Wright
487,Justin Anderson,Justin-Anderson
488,Bobby Portis,Bobby-Portis
489,Rondae Hollis-Jefferson,Rondae-Hollis-Jefferson
490,Tyus Jones,Tyus-Jones
491,Jarell Martin,Jarell-Martin
492,Chris McCullough,Chris-McCullough
493,Kevon Looney,Kevon-Looney
494,Montrezl Harrell,Montrezl-Harrell
495,Jordan Mickey,Jordan-Mickey
496,Anthony Brown,Anthony-Brown
497,Rakeem Christmas,Rakeem-Christmas
498,Richaun Holmes,Richaun-Holmes
499,Darrun Hilliard,Darrun-Hilliard
500,Josh Richardson,Josh-Richardson
501,Pat Connaughton,Pat-Connaughton
502,Joe Young,Joe-Young
503,Andrew Harrison,Andrew-Harrison
504,Marcus Thornton,Marcus-Thornton
505,Marcus Thornton,Marcus-Thornton
506,Norman Powell,Norman-Powell
507,Branden Dawson,Branden-Dawson
508,Ben Simmons,Ben-Simmons
509,Brandon Ingram,Brandon-Ingram
510,Kris Dunn,Kris-Dunn
511,Buddy Hield,Buddy-Hield
512,Jamal Murray,Jamal-Murray
513,Marquese Chriss,Marquese-Chriss
514,Jakob Poeltl,Jakob-Poeltl
515,Domantas Sabonis,Domantas-Sabonis
516,Denzel Valentine,Denzel-Valentine
517,Wade Baldwin,Wade-Baldwin
518,Henry Ellenson,Henry-Ellenson
519,Malik Beasley,Malik-Beasley
520,Caris LeVert,Caris-LeVert
521,Malachi Richardson,Malachi-Richardson
522,Pascal Siakam,Pascal-Siakam
523,Skal Labissière,Skal-Labissière
524,Dejounte Murray,Dejounte-Murray
525,Damian Jones,Damian-Jones
526,Tyler Ulis,Tyler-Ulis
527,Malcolm Brogdon,Malcolm-Brogdon
528,Chinanu Onuaku,Chinanu-Onuaku
529,Patrick McCaw,Patrick-McCaw
530,Isaiah Whitehead,Isaiah-Whitehead
531,Demetrius Jackson,Demetrius-Jackson
532,Jake Layman,Jake-Layman
533,Georges Niang,Georges-Niang
534,Ben Bentil,Ben-Bentil
535,Joel Bolomboy,Joel-Bolomboy
536,Marcus Paige,Marcus-Paige
537,Daniel Hamilton,Daniel-Hamilton
538,Tyrone Wallace,Tyrone-Wallace
539,Markelle Fultz,Markelle-Fultz
540,Lonzo Ball,Lonzo-Ball
541,Jayson Tatum,Jayson-Tatum
542,Jonathan Isaac,Jonathan-Isaac
543,Lauri Markkanen,Lauri-Markkanen
544,Zach Collins,Zach-Collins
545,Malik Monk,Malik-Monk
546,Luke Kennard,Luke-Kennard
547,Donovan Mitchell,Donovan-Mitchell
548,Justin Patton,Justin-Patton
549,John Collins,John-Collins
550,Jarrett Allen,Jarrett-Allen
551,OG Anunoby,OG-Anunoby
552,Tyler Lydon,Tyler-Lydon
553,Caleb Swanigan,Caleb-Swanigan
554,Kyle Kuzma,Kyle-Kuzma
555,Derrick White,Derrick-White
556,Josh Hart,Josh-Hart
557,Davon Reed,Davon-Reed
558,Ivan Rabb,Ivan-Rabb
559,Jordan Bell,Jordan-Bell
560,Jawun Evans,Jawun-Evans
561,Dwayne Bacon,Dwayne-Bacon
562,Tyler Dorsey,Tyler-Dorsey
563,Thomas Bryant,Thomas-Bryant
564,Dillon Brooks,Dillon-Brooks
565,Sterling Brown,Sterling-Brown
566,Sindarius Thornwell,Sindarius-Thornwell
567,Monte Morris,Monte-Morris
568,Edmond Sumner,Edmond-Sumner
569,Kadeem Allen,Kadeem-Allen
570,Alec Peters,Alec-Peters
571,Jabari Bird,Jabari-Bird
572,Jaron Blossomgame,Jaron-Blossomgame
573,Deandre Ayton,Deandre-Ayton
574,Marvin Bagley III,Marvin-Bagley III
575,Trae Young,Trae-Young
576,Collin Sexton,Collin-Sexton
577,Mikal Bridges,Mikal-Bridges
578,Shai Gilgeous-Alexander,Shai-Gilgeous-Alexander
579,Miles Bridges,Miles-Bridges
580,Jerome Robinson,Jerome-Robinson
581,Zhaire Smith,Zhaire-Smith
582,Donte DiVincenzo,Donte-DiVincenzo
583,Kevin Huerter,Kevin-Huerter
584,Josh Okogie,Josh-Okogie
585,Grayson Allen,Grayson-Allen
586,Chandler Hutchison,Chandler-Hutchison
587,Aaron Holiday,Aaron-Holiday
588,Moritz Wagner,Moritz-Wagner
589,Landry Shamet,Landry-Shamet
590,Jacob Evans,Jacob-Evans
591,Omari Spellman,Omari-Spellman
592,Jevon Carter,Jevon-Carter
593,Jalen Brunson,Jalen-Brunson
594,Melvin Frazier,Melvin-Frazier
595,Khyri Thomas,Khyri-Thomas
596,Jarred Vanderbilt,Jarred-Vanderbilt
597,Hamidou Diallo,Hamidou-Diallo
598,Keita Bates-Diop,Keita-Bates-Diop
599,Chimezie Metu,Chimezie-Metu
600,Alize Johnson,Alize-Johnson
601,Devon Hall,Devon-Hall
602,Kevin Hervey,Kevin-Hervey
603,Thomas Welsh,Thomas-Welsh
604,George King,George-King
605,Kostas Antetokounmpo,Kostas-Antetokounmpo
606,Zion Williamson,Zion-Williamson
607,RJ Barrett,RJ-Barrett
608,Darius Garland,Darius-Garland
609,Jarrett Culver,Jarrett-Culver
610,Coby White,Coby-White
611,Rui Hachimura,Rui-Hachimura
612,Cam Reddish,Cam-Reddish
613,Cameron Johnson,Cameron-Johnson
614,Tyler Herro,Tyler-Herro
615,Romeo Langford,Romeo-Langford
616,Chuma Okeke,Chuma-Okeke
617,Nickeil Alexander-Walker,Nickeil-Alexander-Walker
618,Matisse Thybulle,Matisse-Thybulle
619,Grant Williams,Grant-Williams
620,Ty Jerome,Ty-Jerome
621,Nassir Little,Nassir-Little
622,Dylan Windler,Dylan-Windler
623,Mfiondu Kabengele,Mfiondu-Kabengele
624,Jordan Poole,Jordan-Poole
625,Keldon Johnson,Keldon-Johnson
626,Carsen Edwards,Carsen-Edwards
627,Bruno Fernando,Bruno-Fernando
628,Justin James,Justin-James
629,Admiral Schofield,Admiral-Schofield
630,Jaylen Nowell,Jaylen-Nowell
631,Bol Bol,Bol-Bol
632,Isaiah Roby,Isaiah-Roby
633,Talen Horton-Tucker,Talen-Horton-Tucker
634,Ignas Brazdeikis,Ignas-Brazdeikis
635,Terance Mann,Terance-Mann
636,Quinndary Weatherspoon,Quinndary-Weatherspoon
637,Jarrell Brantley,Jarrell-Brantley
638,Tremont Waters,Tremont-Waters
639,Jalen McDaniels,Jalen-McDaniels
640,Justin Wright-Foreman,Justin-Wright-Foreman
641,Kyle Guy,Kyle-Guy
642,Jordan Bone,Jordan-Bone
643,Miye Oni,Miye-Oni
644,Anthony Edwards,Anthony-Edwards
645,James Wiseman,James-Wiseman
