,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
1165,20,MIN,Josh Okogie,Georgia Tech,5,316,6367,2081,963,383,0.4,0.291,0.749,20.1,6.6,3,1.2,8.2,0.062,-2.3,-0.5,Josh-Okogie
1166,21,UTA,Grayson Allen,Duke,5,264,6170,2556,727,448,0.435,0.395,0.861,23.4,9.7,2.8,1.7,13.1,0.102,-0.4,2.4,Grayson-Allen
1167,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9,Chandler-Hutchison
1168,23,IND,Aaron Holiday,UCLA,5,308,5305,2043,508,677,0.413,0.377,0.841,17.2,6.6,1.6,2.2,5.6,0.051,-2.3,-0.4,Aaron-Holiday
1170,25,LAL,Moritz Wagner,Michigan,5,253,4072,2074,941,301,0.49,0.319,0.822,16.1,8.2,3.7,1.2,9.3,0.11,-0.9,1.1,Moritz-Wagner
1171,26,PHI,Landry Shamet,Wichita State,5,302,6901,2700,539,516,0.406,0.388,0.842,22.9,8.9,1.8,1.7,11.8,0.082,-1.8,0.4,Landry-Shamet
1172,27,BOS,Robert Williams,Texas A&M,5,209,4284,1534,1447,299,0.732,0,0.656,20.5,7.3,6.9,1.4,22.2,0.249,4.9,7.4,Robert-Williams
1173,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8,Jacob-Evans
1175,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2,Omari-Spellman
1179,32,MEM,Jevon Carter,West Virginia,5,304,4954,1635,588,517,0.4,0.397,0.811,16.3,5.4,1.9,1.7,8,0.077,-0.9,1.4,Jevon-Carter
1180,33,DAL,Jalen Brunson,Villanova,5,345,9213,4919,1084,1455,0.493,0.386,0.812,26.7,14.3,3.1,4.2,26,0.135,1,7,Jalen-Brunson
1181,34,ATL,Devonte' Graham,Kansas,5,313,8046,3619,722,1399,0.372,0.356,0.812,25.7,11.6,2.3,4.5,12.6,0.075,-0.4,3.3,Devonte'-Graham
1182,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10,-0.6,Melvin-Frazier
1184,37,SAC,Gary Trent Jr.,Duke,5,270,7811,3900,627,393,0.421,0.384,0.827,28.9,14.4,2.3,1.5,14.1,0.087,-0.6,2.7,Gary-Trent Jr.
